 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
           Ctrl            EP1            EP2            EP3           SIG1           SIG2           SIG3          MODE1          MODE2          ActAv         PMODE1         PMODE2         PActAv         CMODE1         CMODE2         CActAv         nGrain       MaxTwins
        0.05462        0.05462       -0.02521       -0.02755      931.47959       -0.00269        0.01511        0.33202        0.66798        5.46521        0.35259        0.64741        5.34082        0.34329        0.65671        4.25414      282.00000        0.00000
        0.05513        0.05513       -0.02544       -0.02782      933.30339       -0.00270        0.01514        0.33219        0.66781        5.54302        0.35303        0.64697        5.39971        0.34324        0.65676        4.30028      282.00000        0.00000
        0.05564        0.05564       -0.02567       -0.02809      935.10134       -0.00292        0.01540        0.33222        0.66778        5.52637        0.35332        0.64668        5.39527        0.34616        0.65384        4.29051      282.00000        0.00000
        0.05615        0.05615       -0.02590       -0.02837      936.87647       -0.00292        0.01544        0.33239        0.66761        5.52373        0.35337        0.64663        5.36862        0.34669        0.65331        4.31175      282.00000        0.00000
        0.05667        0.05667       -0.02614       -0.02864      938.63500       -0.00292        0.01548        0.33376        0.66624        5.48349        0.35534        0.64466        5.36434        0.34703        0.65297        4.26978      282.00000        0.00000
        0.05718        0.05718       -0.02637       -0.02892      940.37532       -0.00296        0.01554        0.33356        0.66644        5.51586        0.35527        0.64473        5.37934        0.34698        0.65302        4.29555      282.00000        0.00000
        0.05769        0.05769       -0.02660       -0.02919      942.10090       -0.00303        0.01565        0.33358        0.66642        5.48286        0.35521        0.64479        5.35067        0.34716        0.65284        4.27278      282.00000        0.00000
        0.05820        0.05820       -0.02683       -0.02947      943.81673       -0.00341        0.01603        0.33388        0.66612        5.47793        0.35546        0.64454        5.35538        0.34818        0.65182        4.26977      282.00000        0.00000
        0.05871        0.05871       -0.02706       -0.02975      945.52233       -0.00346        0.01612        0.33419        0.66581        5.44724        0.35576        0.64424        5.36407        0.34837        0.65163        4.22950      282.00000        0.00000
        0.05922        0.05922       -0.02729       -0.03002      947.20399       -0.00348        0.01613        0.33442        0.66558        5.50249        0.35626        0.64374        5.35320        0.34827        0.65173        4.30446      282.00000        0.00000
        0.05973        0.05973       -0.02752       -0.03030      948.86376       -0.00351        0.01627        0.33431        0.66569        5.50590        0.35622        0.64378        5.36780        0.34815        0.65185        4.30392      282.00000        0.00000
        0.06024        0.06024       -0.02775       -0.03058      950.50372       -0.00360        0.01641        0.33422        0.66578        5.50339        0.35582        0.64418        5.37046        0.34915        0.65085        4.29927      282.00000        0.00000
        0.06075        0.06075       -0.02798       -0.03085      952.14266       -0.00353        0.01648        0.33374        0.66626        5.46868        0.35504        0.64496        5.37162        0.34930        0.65070        4.25972      282.00000        0.00000
        0.06126        0.06126       -0.02821       -0.03113      953.77246       -0.00356        0.01656        0.33457        0.66543        5.49731        0.35524        0.64476        5.40914        0.35026        0.64974        4.26573      282.00000        0.00000
        0.06177        0.06177       -0.02844       -0.03141      955.39010       -0.00361        0.01662        0.33411        0.66589        5.49918        0.35547        0.64453        5.38239        0.34964        0.65036        4.28632      282.00000        0.00000
        0.06228        0.06228       -0.02867       -0.03169      956.98379       -0.00369        0.01677        0.33404        0.66596        5.50320        0.35538        0.64462        5.39949        0.34877        0.65123        4.27323      282.00000        0.00000
        0.06279        0.06279       -0.02890       -0.03197      958.55900       -0.00370        0.01680        0.33492        0.66508        5.49609        0.35586        0.64414        5.40274        0.34960        0.65040        4.26304      282.00000        0.00000
        0.06330        0.06330       -0.02913       -0.03225      960.12124       -0.00373        0.01684        0.33454        0.66546        5.48592        0.35602        0.64398        5.38074        0.34903        0.65097        4.26691      282.00000        0.00000
        0.06381        0.06381       -0.02935       -0.03253      961.67860       -0.00380        0.01698        0.33433        0.66567        5.46803        0.35577        0.64423        5.38035        0.34915        0.65085        4.24721      282.00000        0.00000
        0.06432        0.06432       -0.02958       -0.03281      963.22246       -0.00382        0.01700        0.33457        0.66543        5.49484        0.35619        0.64381        5.38821        0.34919        0.65081        4.27170      282.00000        0.00000
        0.06483        0.06483       -0.02981       -0.03309      964.74571       -0.00386        0.01707        0.33444        0.66556        5.47549        0.35608        0.64392        5.39309        0.34916        0.65084        4.24671      282.00000        0.00000
        0.06534        0.06534       -0.03004       -0.03337      966.25716       -0.00382        0.01709        0.33446        0.66554        5.47522        0.35608        0.64392        5.40924        0.34933        0.65067        4.23525      282.00000        0.00000
        0.06585        0.06585       -0.03026       -0.03365      967.75712       -0.00384        0.01719        0.33442        0.66558        5.44850        0.35599        0.64401        5.34311        0.34864        0.65136        4.25116      282.00000        0.00000
        0.06636        0.06636       -0.03049       -0.03393      969.24321       -0.00389        0.01730        0.33429        0.66571        5.44613        0.35578        0.64422        5.37109        0.34867        0.65133        4.22916      282.00000        0.00000
